Row Labels,Average of price(£),Count of model
Corvette-C70,5154.86,7
S40,1934.00,5
S60,18059.84,25
S80,6245.00,2
S90,23854.78,18
V40,13600.35,17
V50,2517.00,5
V60,21043.31,13
V90,28778.33,43
XC40,31815.03,33
XC60,29163.17,119
XC90,40782.36,72
XCorvette-C70,10953.00,6
Wiesmann,120000.00,1
MF4,120000.00,1
Grand Total,17994.80,9629
