,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
5277,10695,23118.0,3.0,Hatchback,1395.0,Manual,2015.0,Audi,A1
5278,5049,42890.0,3.0,Hatchback,1598.0,Manual,2011.0,Mini,Hatch
5279,11799,7710.0,5.0,Hatchback,1598.0,Automatic,2016.0,Nissan,Juke
5280,74950,18253.0,5.0,Hatchback,2894.0,Automatic,2018.0,Porsche,Panamera
5281,10590,14396.0,5.0,Hatchback,1318.0,Automatic,2017.0,Honda,Jazz
5282,10595,9028.0,5.0,Hatchback,1398.0,Manual,2019.0,Vauxhall,Corsa
5283,6698,11306.0,5.0,Hatchback,998.0,Manual,2018.0,Kia,Picanto
5284,8899,36540.0,5.0,Hatchback,1598.0,Manual,2014.0,Volkswagen,Golf
5285,11992,21257.0,5.0,Hatchback,1395.0,Manual,2016.0,Audi,A1
5286,14550,29124.0,5.0,Hatchback,1595.0,Manual,2016.0,Mercedes-Benz,A
5287,7600,49157.0,5.0,Hatchback,1197.0,Manual,2015.0,Volkswagen,Polo
5288,13995,33327.0,5.0,Hatchback,1956.0,Manual,2018.0,Vauxhall,Insignia
5291,7149,36856.0,3.0,Hatchback,1198.0,Manual,2014.0,Volkswagen,Polo
5292,7399,17000.0,3.0,Hatchback,1400.0,Manual,2017.0,Vauxhall,Corsa
5293,2950,90000.0,3.0,Hatchback,1598.0,Manual,2010.0,Alfa,Romeo
5294,8995,30000.0,5.0,Hatchback,1598.0,Manual,2016.0,Vauxhall,Astra
5295,7295,22000.0,3.0,Hatchback,1398.0,Manual,2016.0,Vauxhall,Corsa
5296,12710,24721.0,5.0,Hatchback,1490.0,Manual,2018.0,Vauxhall,Insignia
5297,7295,74000.0,5.0,Hatchback,1968.0,Manual,2014.0,Skoda,Superb
5298,10499,20876.0,5.0,Hatchback,1399.0,Automatic,2017.0,Vauxhall,Astra
5299,2195,49000.0,5.0,Hatchback,1598.0,Manual,2006.0,Toyota,Corolla
5300,3250,73000.0,5.0,Hatchback,1339.0,Manual,2009.0,Honda,Jazz
5301,6797,33072.0,3.0,Hatchback,1199.0,Manual,2016.0,Peugeot,208
5302,10500,12099.0,3.0,Hatchback,998.0,Manual,2018.0,Ford,Fiesta
5303,11600,15716.0,5.0,Hatchback,1000.0,Automatic,2017.0,Ford,Focus
5304,10998,15011.0,5.0,Hatchback,1339.0,Manual,2017.0,Honda,Civic
5305,8440,77400.0,5.0,Hatchback,1968.0,Manual,2011.0,Volkswagen,Golf
5306,14995,10.0,5.0,Hatchback,998.0,Manual,2020.0,Ford,Fiesta
5307,3450,87982.0,5.0,Hatchback,1956.0,Manual,2011.0,Vauxhall,Astra
5308,14340,100.0,5.0,Hatchback,1364.0,Manual,2019.0,Vauxhall,Mokka
5309,13400,28122.0,5.0,Hatchback,1373.0,Automatic,2016.0,Suzuki,SX4
5310,7989,29718.0,5.0,Hatchback,998.0,Manual,2016.0,Ford,Fiesta
5311,7000,52993.0,5.0,Hatchback,1598.0,Manual,2014.0,Vauxhall,Mokka
5312,7495,14900.0,5.0,Hatchback,998.0,Automatic,2015.0,Toyota,Aygo
5313,10495,21344.0,5.0,Hatchback,1300.0,Manual,2018.0,Honda,Jazz
5314,7490,12458.0,5.0,Hatchback,999.0,Manual,2018.0,Skoda,Fabia
5315,10495,7999.0,3.0,Hatchback,1398.0,Manual,2019.0,Vauxhall,Corsa
5316,6698,20279.0,3.0,Hatchback,999.0,Manual,2017.0,Volkswagen,Up
5317,6998,37154.0,5.0,Hatchback,1598.0,Automatic,2011.0,Volkswagen,Golf
5319,24898,2310.0,5.0,Hatchback,1998.0,Automatic,2019.0,BMW,X2
5320,15599,20.0,5.0,Hatchback,1200.0,Manual,2020.0,Vauxhall,Astra
5321,11295,10707.0,5.0,Hatchback,999.0,Manual,2018.0,Seat,Ibiza
5322,3499,70000.0,5.0,Hatchback,1598.0,Manual,2010.0,Vauxhall,Astra
5323,13498,64940.0,5.0,Hatchback,1598.0,Manual,2016.0,Skoda,Superb
5324,12995,21845.0,5.0,Hatchback,1598.0,Manual,2018.0,Vauxhall,Astra
5325,7895,29582.0,5.0,Hatchback,1329.0,Manual,2017.0,Toyota,Yaris
5326,18495,4345.0,5.0,Hatchback,1332.0,Manual,2019.0,Nissan,Qashqai
5327,11299,17060.0,5.0,Hatchback,1499.0,Manual,2018.0,Mini,Hatch
5328,11995,10.0,3.0,Hatchback,1398.0,Manual,2019.0,Vauxhall,Corsa
5329,15998,25825.0,5.0,Hatchback,1598.0,Manual,2017.0,Peugeot,308
5330,4590,56175.0,5.0,Hatchback,1248.0,Manual,2014.0,Hyundai,I20
5331,19490,1373.0,5.0,Hatchback,999.0,Manual,2019.0,Nissan,Juke
5332,9599,7602.0,5.0,Hatchback,1398.0,Automatic,2018.0,Vauxhall,Corsa
5334,26880,250.0,5.0,Hatchback,1595.0,Automatic,2020.0,Mercedes-Benz,GLA
5335,9298,13086.0,5.0,Hatchback,1200.0,Manual,2018.0,Citroen,C3
5336,8810,45463.0,5.0,Hatchback,1499.0,Manual,2015.0,Ford,Focus
5337,25950,572.0,5.0,Hatchback,1984.0,Automatic,2019.0,Seat,Leon
5338,18480,10155.0,5.0,Hatchback,1498.0,Automatic,2018.0,Honda,Civic
