,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
2255,15999,22767.0,5.0,Hatchback,1461.0,Automatic,2018.0,Mercedes-Benz,A
2256,9390,14434.0,5.0,Hatchback,1000.0,Manual,2019.0,Skoda,Rapid
2257,12288,20697.0,5.0,Hatchback,1618.0,Manual,2017.0,Nissan,Juke
2258,1690,60000.0,5.0,Hatchback,1493.0,Manual,2006.0,Hyundai,Getz
2259,13500,10307.0,5.0,Hatchback,1560.0,Manual,2018.0,Vauxhall,Grandland
2260,24500,43256.0,5.0,4x4,2000.0,Automatic,2017.0,Land-Rover,Discovery-Sport
2261,22480,3140.0,5.0,4x4,1591.0,Manual,2019.0,Hyundai,Tucson
2262,10900,43000.0,5.0,4x4,2000.0,Manual,2015.0,Ford,Kuga
2263,36991,3718.0,5.0,4x4,1999.0,Automatic,2020.0,Jaguar,E-Pace
2264,30892,10452.0,5.0,4x4,1999.0,Automatic,2018.0,Land-Rover,Range
2265,17990,9401.0,5.0,4x4,1997.0,Manual,2019.0,Ford,Kuga
2266,31440,8817.0,5.0,4x4,1969.0,Manual,2019.0,Volvo,XC40
2268,18995,67000.0,5.0,4x4,2179.0,Automatic,2013.0,Land-Rover,Range
2269,43750,50.0,5.0,4x4,2000.0,Automatic,2020.0,Volvo,XC90
2270,13500,42744.0,5.0,Estate,2000.0,Manual,2017.0,Ford,Kuga
2271,4795,103584.0,5.0,Estate,1995.0,Automatic,2009.0,Nissan,X-Trail
2272,21499,1000.0,5.0,Estate,1373.0,Automatic,2019.0,Suzuki,Vitara
2273,17395,58491.0,5.0,Estate,1999.0,Manual,2017.0,Land-Rover,Range
2274,2995,72000.0,5.0,Estate,1397.0,Manual,2010.0,Peugeot,207
2275,10295,43708.0,5.0,Estate,1582.0,Manual,2016.0,Kia,Ceed
2276,3095,81000.0,5.0,Estate,1598.0,Manual,2009.0,Mini,Clubman
2278,16995,82790.0,5.0,Estate,4200.0,Manual,2007.0,Audi,A4
2279,6495,72000.0,5.0,Estate,1995.0,Automatic,2008.0,BMW,X3
2280,15900,44499.0,2.0,Coupe,1968.0,Manual,2016.0,Audi,A5
2281,16990,84000.0,2.0,Coupe,5998.0,Automatic,2004.0,Bentley,Continental
2282,9000,2175.0,2.0,Coupe,1000.0,Manual,2019.0,Smart,Fortwo
2283,6990,69030.0,2.0,Coupe,1995.0,Manual,2012.0,BMW,1
2284,12998,30035.0,2.0,Coupe,1595.0,Automatic,2013.0,Mercedes-Benz,C
2285,5995,44350.0,2.0,Coupe,1598.0,Manual,2014.0,Mini,Coupe
2286,15998,31213.0,2.0,Coupe,1968.0,Manual,2016.0,Audi,A5
2287,28256,5111.0,2.0,Coupe,1991.0,Manual,2019.0,Mercedes-Benz,C
2288,20998,23358.0,2.0,Coupe,1995.0,Automatic,2018.0,BMW,4
2289,194850,510.0,2.0,Coupe,3996.0,Automatic,2020.0,Bentley,Continental
2290,13895,19176.0,2.0,Convertible,1998.0,Manual,2017.0,Mazda,MX-5
2291,2990,73156.0,2.0,Convertible,1364.0,Manual,2011.0,Vauxhall,Tigra
2292,9777,22265.0,2.0,Convertible,1598.0,Manual,2015.0,Volkswagen,Golf
2293,56995,25000.0,2.0,Convertible,5998.0,Automatic,2012.0,Bentley,Continental
2294,7995,40000.0,2.0,Convertible,3724.0,Automatic,2003.0,Mercedes-Benz,SL
2295,5990,70399.0,2.0,Convertible,1796.0,Automatic,2008.0,Mercedes-Benz,SLK
2296,13900,52700.0,2.0,Convertible,1968.0,Manual,2015.0,Audi,TT
2297,11990,35000.0,2.0,Convertible,1598.0,Manual,2015.0,Mini,Convertible
2298,4490,70436.0,2.0,Convertible,1598.0,Manual,2009.0,Mini,Convertible
2299,7495,57000.0,2.0,Convertible,1956.0,Manual,2014.0,Vauxhall,Cascada
2301,9975,13835.0,5.0,MPV,1364.0,Manual,2016.0,Vauxhall,Zafira
2302,8591,21639.0,5.0,MPV,1364.0,Automatic,2016.0,Vauxhall,Meriva
2304,10500,29459.0,5.0,MPV,1364.0,Manual,2017.0,Vauxhall,Zafira
2305,1790,99969.0,5.0,MPV,1796.0,Automatic,2007.0,Vauxhall,Zafira
2306,10500,32642.0,5.0,MPV,1560.0,Automatic,2017.0,Citroen,Berlingo
2307,11995,33098.0,5.0,MPV,1995.0,Manual,2017.0,BMW,2
2308,6138,51353.0,5.0,MPV,1560.0,Manual,2014.0,Citroen,C4
2309,3895,66000.0,5.0,MPV,1582.0,Manual,2012.0,Kia,Carens
2310,31495,100.0,4.0,Saloon,1950.0,Automatic,2019.0,Mercedes-Benz,C
2311,6990,133000.0,4.0,Saloon,1968.0,Manual,2014.0,Audi,A4
2312,20650,34544.0,4.0,Saloon,3000.0,Automatic,2016.0,Jaguar,XF
2313,21995,24500.0,4.0,Saloon,1950.0,Automatic,2018.0,Mercedes-Benz,E
2314,19000,18861.0,4.0,Saloon,2500.0,Automatic,2016.0,Lexus,IS
2315,17699,27500.0,4.0,Saloon,1999.0,Automatic,2016.0,Jaguar,XE
2316,25980,12439.0,4.0,Saloon,1950.0,Manual,2019.0,Mercedes-Benz,E
2317,10999,38141.0,4.0,Saloon,1995.0,Manual,2015.0,BMW,3
2318,19380,38882.0,4.0,Saloon,3000.0,Automatic,2017.0,BMW,3
2319,24395,14546.0,4.0,Saloon,1995.0,Automatic,2017.0,Alfa-Romeo,Giulia
2320,4395,61500.0,5.0,Hatchback,1398.0,Manual,2012.0,Vauxhall,Astra
2321,12000,12756.0,5.0,Hatchback,1600.0,Manual,2019.0,Nissan,Juke
2322,7991,57291.0,5.0,Hatchback,1499.0,Manual,2015.0,Ford,Focus
2323,9699,1023.0,5.0,Hatchback,1000.0,Manual,2019.0,Volkswagen,Up
2324,10499,10340.0,5.0,Hatchback,998.0,Manual,2018.0,Ford,Fiesta
2325,13000,19970.0,3.0,Hatchback,1600.0,Manual,2017.0,Ford,Fiesta
2326,8600,18400.0,3.0,Hatchback,1200.0,Manual,2016.0,Ds,Ds
2327,12780,339.0,5.0,Hatchback,1200.0,Manual,2019.0,Ford,KA
2328,21500,5388.0,5.0,Hatchback,1998.0,Manual,2018.0,Hyundai,I30
2329,5875,80982.0,5.0,Hatchback,998.0,Manual,2016.0,Ford,Fiesta
2330,11500,45233.0,5.0,4x4,1598.0,Manual,2015.0,Nissan,X-Trail
2332,18000,20410.0,5.0,4x4,1598.0,Manual,2018.0,Kia,Sportage
2333,31950,30540.0,5.0,4x4,3456.0,Manual,2016.0,Lexus,RX
2334,46490,832.0,5.0,4x4,1969.0,Manual,2019.0,Volvo,XC90
2335,20499,17290.0,5.0,4x4,1591.0,Automatic,2017.0,Kia,Sportage
2336,40490,3898.0,5.0,4x4,1969.0,Manual,2019.0,Volvo,XC60
2337,45136,4422.0,5.0,4x4,2993.0,Automatic,2019.0,BMW,X5
2338,16256,16778.0,5.0,4x4,1591.0,Manual,2017.0,Kia,Sportage
2339,10995,16774.0,5.0,4x4,1586.0,Manual,2016.0,Suzuki,Vitara
2340,19995,10.0,5.0,Estate,1498.0,Manual,2019.0,Honda,CR-V
2341,12799,11616.0,5.0,Estate,1197.0,Automatic,2017.0,Skoda,Yeti
2342,8500,30399.0,5.0,Estate,1600.0,Manual,2017.0,Peugeot,2008
2343,20640,4199.0,5.0,Estate,1598.0,Manual,2019.0,Audi,Q2
2344,14050,17698.0,5.0,Estate,2268.0,Automatic,2017.0,Mitsubishi,ASX
2345,48780,9124.0,5.0,Estate,2000.0,Automatic,2019.0,Volvo,XC90
2346,35496,3347.0,5.0,Estate,2000.0,Automatic,2019.0,Land-Rover,Discovery-Sport
2347,11995,22350.0,5.0,Estate,1586.0,Manual,2018.0,Suzuki,Vitara
2348,34790,9691.0,5.0,Estate,3000.0,Automatic,2018.0,Jaguar,F-Pace
2349,21699,50.0,5.0,Estate,1500.0,Manual,2019.0,Volkswagen,Tiguan
2350,11100,36257.0,3.0,Coupe,1395.0,Manual,2016.0,Seat,Leon
2351,11299,59464.0,2.0,Coupe,1968.0,Manual,2013.0,Audi,TT
2352,12698,28337.0,3.0,Coupe,1968.0,Automatic,2014.0,Volkswagen,Scirocco
2353,69950,12000.0,2.0,Coupe,3982.0,Manual,2018.0,Mercedes-Benz,C
2354,129950,11375.0,2.0,Coupe,6761.0,Automatic,2008.0,Bentley,Brooklands
2355,8800,42076.0,3.0,Coupe,1395.0,Manual,2016.0,Seat,Ibiza
2356,4995,56420.0,3.0,Coupe,1781.0,Manual,2000.0,Audi,TT
2357,29676,7365.0,2.0,Coupe,2998.0,Automatic,2019.0,BMW,4
2358,16500,83300.0,2.0,Coupe,3386.0,Manual,2006.0,Porsche,Cayman
2359,15480,36844.0,2.0,Coupe,1968.0,Manual,2016.0,Audi,TT
2360,6495,75000.0,2.0,Convertible,1598.0,Manual,2009.0,Mini,Convertible
2361,4390,88000.0,2.0,Convertible,2000.0,Manual,2007.0,Saab,9-3
2362,18995,5461.0,2.0,Convertible,1995.0,Automatic,2018.0,BMW,2
2363,6295,71732.0,2.0,Convertible,1995.0,Automatic,2008.0,BMW,3
2365,19900,28379.0,2.0,Convertible,1595.0,Manual,2017.0,Mercedes-Benz,SLC
2366,30499,9471.0,2.0,Convertible,2000.0,Automatic,2019.0,Mercedes-Benz,C
2367,6995,68000.0,2.0,Convertible,1984.0,Manual,2008.0,Audi,TT
2368,5495,34736.0,2.0,Convertible,1598.0,Manual,2009.0,Mini,Convertible
2369,7225,68000.0,2.0,Convertible,1968.0,Manual,2011.0,Audi,A3
2370,16995,56583.0,5.0,MPV,1997.0,Automatic,2016.0,Ford,S-Max
2371,2690,83340.0,5.0,MPV,1560.0,Automatic,2010.0,Citroen,C4
2372,2995,55000.0,5.0,MPV,1596.0,Manual,2008.0,Ford,C-Max
2373,4995,64000.0,5.0,MPV,1560.0,Manual,2013.0,Citroen,C3
