,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model,luxury_brand,brand_new,old,sports_car
3066,30490,1500.0,2.0,Coupe,1968.0,Automatic,2020.0,Audi,A5,1,1,0,0
3067,6500,42000.0,2.0,Coupe,1598.0,Manual,2011.0,Peugeot,RCZ,0,0,0,0
3068,11795,93000.0,2.0,Coupe,1968.0,Automatic,2013.0,Audi,A5,1,0,0,0
3069,7495,88749.0,4.0,Coupe,1968.0,Manual,2013.0,Volkswagen,CC,0,0,0,0
3070,32440,3792.0,2.0,Coupe,1995.0,Manual,2019.0,BMW,4,1,1,0,0
3071,17750,42212.0,5.0,Coupe,2993.0,Automatic,2017.0,BMW,4,1,0,0,1
3072,18037,25593.0,2.0,Coupe,2143.0,Automatic,2016.0,Mercedes-Benz,E,1,0,0,0
3073,12890,57910.0,2.0,Coupe,3386.0,Manual,2006.0,Porsche,Cayman,1,0,0,1
3074,173950,4000.0,2.0,Coupe,3996.0,Automatic,2019.0,Bentley,Continental,1,1,0,1
3075,38210,7111.0,2.0,Coupe,1991.0,Manual,2019.0,Mercedes-Benz,E,1,1,0,0
3076,12999,96250.0,2.0,Coupe,2993.0,Automatic,2014.0,BMW,4,1,0,0,1
3077,32999,28915.0,2.0,Coupe,5038.0,Automatic,2018.0,Ford,Mustang,0,0,0,1
3078,23400,34495.0,2.0,Coupe,6208.0,Automatic,2014.0,Mercedes-Benz,C,1,0,0,1
3079,25998,6046.0,2.0,Coupe,1595.0,Manual,2019.0,Mercedes-Benz,C,1,1,0,0
3080,6000,36706.0,3.0,Coupe,1600.0,Manual,2013.0,Mini,Coupe,0,0,0,0
3081,7490,73600.0,2.0,Coupe,1984.0,Manual,2010.0,Audi,A5,1,0,0,0
3082,32980,16.0,2.0,Coupe,1497.0,Manual,2019.0,Mercedes-Benz,C,1,1,0,0
3083,13570,46323.0,3.0,Coupe,1968.0,Automatic,2017.0,Volkswagen,Scirocco,0,0,0,0
3084,16999,49034.0,5.0,Coupe,1798.0,Automatic,2017.0,Toyota,C-HR,0,0,0,0
3085,6349,44305.0,3.0,Coupe,1197.0,Manual,2013.0,Seat,Leon,0,0,0,0
3086,16680,48620.0,4.0,Coupe,2143.0,Automatic,2014.0,Mercedes-Benz,CLA,1,0,0,0
3087,5270,92705.0,2.0,Coupe,2996.0,Automatic,2009.0,BMW,3,1,0,0,1
